date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-09-01 00:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,23,26,26,23,11,60,96,9.8,1010,23,3,295,5,PaloAlto
2013-09-01 01:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,23,26,26,23,9,50,97,4.9,1010,23,4,276,5,PaloAlto
2013-09-01 02:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,23,26,26,23,8,40,98,2.0,1010,23,6,257,4,PaloAlto
2013-09-01 03:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,23,26,26,23,6,30,98,2.7,1009,23,7,238,3,PaloAlto
2013-09-01 04:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,23,26,26,23,7,53,98,1.3,1010,23,5,228,3,PaloAlto
2013-09-01 05:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,23,26,26,24,7,77,98,0.0,1010,24,2,217,4,PaloAlto
2013-09-01 06:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,23,26,26,24,8,100,98,0.0,1010,24,0,207,5,PaloAlto
2013-09-01 07:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,23,29,29,26,8,78,89,0.0,1010,26,3,206,5,PaloAlto
2013-09-01 08:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,31,31,28,8,56,80,0.2,1011,28,6,206,6,PaloAlto
2013-09-01 09:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,34,34,29,8,33,71,0.3,1011,29,9,205,6,PaloAlto
2013-09-01 10:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,35,35,30,7,38,68,0.1,1010,30,9,217,6,PaloAlto
2013-09-01 11:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,36,36,31,6,43,64,0.2,1009,31,10,230,5,PaloAlto
2013-09-01 12:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,38,38,32,5,48,61,0.3,1008,32,10,242,4,PaloAlto
2013-09-01 13:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,37,37,32,7,42,63,0.2,1008,32,10,268,5,PaloAlto
2013-09-01 14:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,37,37,31,8,35,66,0.4,1007,31,10,294,6,PaloAlto
2013-09-01 15:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,36,36,31,10,29,68,0.5,1007,31,10,320,7,PaloAlto
2013-09-01 16:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,34,34,29,11,39,76,0.3,1007,29,10,318,7,PaloAlto
2013-09-01 17:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,31,31,27,13,49,85,0.7,1008,27,10,317,7,PaloAlto
2013-09-01 18:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,29,29,25,14,59,93,0.9,1009,25,10,316,7,PaloAlto
2013-09-01 19:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,28,28,25,13,50,95,0.4,1010,25,10,312,6,PaloAlto
2013-09-01 20:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,27,27,24,12,40,96,0.5,1011,24,9,309,6,PaloAlto
2013-09-01 21:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,24,27,27,24,11,31,98,0.6,1012,24,9,306,6,PaloAlto
2013-09-01 22:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,23,27,27,24,11,37,98,0.3,1012,24,8,294,6,PaloAlto
2013-09-01 23:00:00,32,23,0.0,12.6,6,12,02:39 AM,03:22 PM,05:52 AM,06:09 PM,23,26,26,24,10,44,98,1.3,1011,24,8,281,6,PaloAlto
2013-09-02 00:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,26,26,23,10,51,99,1.7,1011,23,7,269,5,PaloAlto
2013-09-02 01:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,26,26,23,9,53,99,0.9,1011,23,7,262,5,PaloAlto
2013-09-02 02:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,26,26,23,9,56,99,0.9,1011,23,7,255,5,PaloAlto
2013-09-02 03:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,26,26,23,8,59,99,1.2,1011,23,7,248,5,PaloAlto
2013-09-02 04:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,26,26,23,7,63,99,0.6,1011,23,8,247,4,PaloAlto
2013-09-02 05:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,26,26,23,6,67,98,0.7,1011,23,9,246,4,PaloAlto
2013-09-02 06:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,26,26,24,5,72,98,0.9,1012,24,10,245,3,PaloAlto
2013-09-02 07:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,24,29,29,25,5,58,92,0.5,1012,25,10,241,3,PaloAlto
2013-09-02 08:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,25,32,32,27,5,44,87,0.3,1012,27,9,237,3,PaloAlto
2013-09-02 09:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,25,35,35,29,4,31,81,0.4,1013,29,9,233,4,PaloAlto
2013-09-02 10:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,25,36,36,30,4,31,74,0.2,1011,30,9,252,4,PaloAlto
2013-09-02 11:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,24,37,37,31,4,32,67,0.1,1010,31,10,271,4,PaloAlto
2013-09-02 12:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,24,38,38,33,4,33,60,0.1,1008,33,10,290,4,PaloAlto
2013-09-02 13:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,24,38,38,32,6,25,63,0.1,1008,32,10,297,5,PaloAlto
2013-09-02 14:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,24,37,37,31,8,18,66,0.5,1008,31,10,305,6,PaloAlto
2013-09-02 15:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,25,37,37,31,10,10,69,0.7,1007,31,10,313,7,PaloAlto
2013-09-02 16:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,24,34,34,29,12,12,77,0.3,1008,29,9,317,7,PaloAlto
2013-09-02 17:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,24,31,31,27,13,13,85,1.1,1008,27,8,320,7,PaloAlto
2013-09-02 18:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,24,28,28,25,14,15,93,1.5,1009,25,7,324,6,PaloAlto
2013-09-02 19:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,27,27,24,13,20,94,0.8,1010,24,7,319,6,PaloAlto
2013-09-02 20:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,27,27,24,13,26,95,2.1,1010,24,7,315,6,PaloAlto
2013-09-02 21:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,26,26,24,12,31,96,2.8,1011,24,7,310,6,PaloAlto
2013-09-02 22:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,26,26,23,11,41,97,1.4,1011,23,7,295,6,PaloAlto
2013-09-02 23:00:00,33,23,0.0,12.6,6,4,03:27 AM,04:06 PM,05:52 AM,06:08 PM,23,26,26,23,9,52,98,2.3,1011,23,7,281,5,PaloAlto
2013-09-03 00:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,26,26,23,8,62,99,3.1,1010,23,7,266,4,PaloAlto
2013-09-03 01:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,26,26,23,8,63,99,1.6,1010,23,8,254,4,PaloAlto
2013-09-03 02:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,26,26,23,8,64,99,0.6,1010,23,8,243,5,PaloAlto
2013-09-03 03:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,26,26,23,8,65,99,0.8,1010,23,9,231,5,PaloAlto
2013-09-03 04:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,26,26,23,7,66,99,0.4,1010,23,9,215,4,PaloAlto
2013-09-03 05:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,26,26,23,6,67,99,0.5,1010,23,9,199,4,PaloAlto
2013-09-03 06:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,26,26,24,5,68,99,0.7,1011,24,9,184,4,PaloAlto
2013-09-03 07:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,29,29,26,5,56,88,0.4,1011,26,9,188,4,PaloAlto
2013-09-03 08:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,32,32,28,5,43,77,0.0,1012,28,10,192,4,PaloAlto
2013-09-03 09:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,34,34,30,5,30,67,0.0,1012,30,10,197,5,PaloAlto
2013-09-03 10:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,36,36,31,5,35,61,0.0,1010,31,10,207,4,PaloAlto
2013-09-03 11:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,38,38,33,5,39,56,0.0,1009,33,10,216,4,PaloAlto
2013-09-03 12:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,22,39,39,34,4,44,51,0.0,1008,34,10,226,4,PaloAlto
2013-09-03 13:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,24,38,38,32,8,38,62,0.0,1007,32,9,250,5,PaloAlto
2013-09-03 14:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,25,37,37,31,11,31,74,0.9,1007,31,8,273,7,PaloAlto
2013-09-03 15:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,26,36,36,29,15,25,85,1.2,1006,29,7,297,9,PaloAlto
2013-09-03 16:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,25,33,33,27,14,23,89,0.6,1007,27,8,299,8,PaloAlto
2013-09-03 17:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,25,30,30,26,14,21,92,0.6,1008,26,8,301,7,PaloAlto
2013-09-03 18:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,24,28,28,25,14,20,96,0.8,1008,25,9,304,7,PaloAlto
2013-09-03 19:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,24,27,27,24,14,33,96,0.4,1009,24,8,305,7,PaloAlto
2013-09-03 20:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,24,27,27,24,13,46,97,1.0,1010,24,8,306,6,PaloAlto
2013-09-03 21:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,26,26,24,12,59,97,1.4,1011,24,7,307,6,PaloAlto
2013-09-03 22:00:00,34,23,0.0,12.6,6,0,04:14 AM,04:49 PM,05:52 AM,06:07 PM,23,26,26,24,11,57,97,0.7,1011,24,7,306,6,PaloAlto
