date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-09-01 00:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,29,29,26,8,20,83,0.0,1010,26,10,355,5,SanFrancisco
2013-09-01 01:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,29,29,26,7,27,84,0.0,1010,26,10,316,4,SanFrancisco
2013-09-01 02:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,29,29,26,5,35,86,0.4,1010,26,10,278,3,SanFrancisco
2013-09-01 03:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,28,28,26,3,43,88,0.5,1010,26,10,239,2,SanFrancisco
2013-09-01 04:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,29,29,26,5,40,85,0.2,1010,26,10,249,3,SanFrancisco
2013-09-01 05:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,29,29,26,6,38,82,0.0,1011,26,10,259,5,SanFrancisco
2013-09-01 06:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,30,30,27,8,36,80,0.0,1011,27,10,269,6,SanFrancisco
2013-09-01 07:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,32,32,29,8,29,72,0.0,1011,29,10,243,6,SanFrancisco
2013-09-01 08:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,35,35,31,8,22,64,0.1,1011,31,9,218,7,SanFrancisco
2013-09-01 09:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,38,38,33,8,15,57,0.2,1011,33,9,193,7,SanFrancisco
2013-09-01 10:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,38,38,33,9,14,54,0.1,1010,33,9,179,8,SanFrancisco
2013-09-01 11:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,22,39,39,34,10,12,50,0.0,1009,34,10,166,8,SanFrancisco
2013-09-01 12:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,22,40,40,35,10,11,47,0.0,1008,35,10,153,9,SanFrancisco
2013-09-01 13:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,22,40,40,35,9,12,48,0.0,1008,35,10,139,8,SanFrancisco
2013-09-01 14:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,22,40,40,35,8,13,48,0.0,1008,35,10,125,7,SanFrancisco
2013-09-01 15:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,22,40,40,35,6,14,49,0.0,1007,35,10,111,5,SanFrancisco
2013-09-01 16:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,22,37,37,32,10,16,56,0.0,1008,32,10,91,7,SanFrancisco
2013-09-01 17:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,22,34,34,30,14,18,63,0.0,1009,30,10,71,8,SanFrancisco
2013-09-01 18:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,22,32,32,28,18,20,70,0.0,1009,28,10,52,9,SanFrancisco
2013-09-01 19:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,22,31,31,28,17,19,72,0.0,1010,28,10,46,9,SanFrancisco
2013-09-01 20:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,31,31,28,17,19,74,0.0,1012,28,10,40,10,SanFrancisco
2013-09-01 21:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,30,30,27,16,18,77,0.0,1013,27,10,34,10,SanFrancisco
2013-09-01 22:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,30,30,27,14,19,78,0.0,1012,27,10,29,9,SanFrancisco
2013-09-01 23:00:00,35,26,0.0,11.6,8,12,03:22 AM,04:10 PM,06:37 AM,06:56 PM,23,30,30,27,13,20,80,0.0,1012,27,10,23,8,SanFrancisco
2013-09-02 00:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,30,30,27,11,22,81,0.0,1011,27,10,17,7,SanFrancisco
2013-09-02 01:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,29,29,26,9,22,83,0.0,1011,26,10,127,6,SanFrancisco
2013-09-02 02:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,29,29,26,7,22,86,0.2,1011,26,9,236,4,SanFrancisco
2013-09-02 03:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,28,28,25,5,22,88,0.3,1011,25,9,346,3,SanFrancisco
2013-09-02 04:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,29,29,26,4,21,86,0.2,1011,26,9,238,3,SanFrancisco
2013-09-02 05:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,30,30,26,3,21,83,0.0,1011,26,10,130,2,SanFrancisco
2013-09-02 06:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,30,30,27,3,21,81,0.0,1011,27,10,22,2,SanFrancisco
2013-09-02 07:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,34,34,29,2,20,72,0.0,1011,29,10,122,2,SanFrancisco
2013-09-02 08:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,37,37,31,2,20,63,0.0,1012,31,10,223,2,SanFrancisco
2013-09-02 09:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,40,40,34,2,20,55,0.0,1012,34,10,323,1,SanFrancisco
2013-09-02 10:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,41,41,34,3,20,52,0.0,1011,34,10,236,3,SanFrancisco
2013-09-02 11:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,42,42,35,5,20,50,0.0,1010,35,10,150,4,SanFrancisco
2013-09-02 12:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,42,42,36,6,21,48,0.0,1009,36,10,63,5,SanFrancisco
2013-09-02 13:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,41,41,35,10,23,49,0.0,1009,35,10,55,8,SanFrancisco
2013-09-02 14:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,22,39,39,34,13,25,50,0.0,1008,34,10,47,10,SanFrancisco
2013-09-02 15:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,22,38,38,33,17,28,52,0.0,1008,33,10,39,13,SanFrancisco
2013-09-02 16:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,22,35,35,31,18,24,59,0.0,1008,31,10,35,12,SanFrancisco
2013-09-02 17:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,33,33,30,19,20,67,0.0,1009,30,10,30,12,SanFrancisco
2013-09-02 18:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,31,31,28,20,16,75,0.0,1009,28,10,25,11,SanFrancisco
2013-09-02 19:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,31,31,27,19,16,78,0.0,1010,27,10,20,11,SanFrancisco
2013-09-02 20:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,30,30,27,18,17,80,0.2,1011,27,9,16,10,SanFrancisco
2013-09-02 21:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,24,30,30,27,17,18,83,0.2,1012,27,9,11,10,SanFrancisco
2013-09-02 22:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,30,30,26,16,18,83,0.1,1012,26,9,125,9,SanFrancisco
2013-09-02 23:00:00,36,25,0.0,11.6,8,4,04:10 AM,04:53 PM,06:37 AM,06:55 PM,23,29,29,26,14,19,84,0.3,1011,26,9,239,9,SanFrancisco
2013-09-03 00:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,29,29,26,13,20,84,0.4,1010,26,9,353,8,SanFrancisco
2013-09-03 01:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,29,29,26,12,22,85,0.2,1010,26,9,353,8,SanFrancisco
2013-09-03 02:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,28,28,26,11,23,85,0.1,1011,26,9,352,7,SanFrancisco
2013-09-03 03:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,28,28,25,10,24,86,0.1,1011,25,9,352,6,SanFrancisco
2013-09-03 04:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,29,29,26,7,21,82,0.1,1011,26,9,261,4,SanFrancisco
2013-09-03 05:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,30,30,27,3,18,79,0.1,1011,27,9,171,2,SanFrancisco
2013-09-03 06:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,31,31,27,0,16,76,0.2,1011,27,9,81,0,SanFrancisco
2013-09-03 07:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,33,33,29,1,18,69,0.1,1012,29,9,113,1,SanFrancisco
2013-09-03 08:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,36,36,31,2,20,62,0.0,1012,31,10,145,2,SanFrancisco
2013-09-03 09:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,39,39,33,3,23,55,0.0,1012,33,10,178,3,SanFrancisco
2013-09-03 10:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,40,40,34,4,29,52,0.0,1011,34,10,161,3,SanFrancisco
2013-09-03 11:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,41,41,35,4,36,50,0.0,1010,35,10,145,4,SanFrancisco
2013-09-03 12:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,42,42,36,5,42,48,0.0,1008,36,10,128,4,SanFrancisco
2013-09-03 13:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,40,40,35,6,44,49,0.0,1008,35,10,105,5,SanFrancisco
2013-09-03 14:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,22,39,39,34,7,46,50,0.0,1007,34,10,82,6,SanFrancisco
2013-09-03 15:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,22,38,38,33,9,48,51,0.0,1007,33,10,59,7,SanFrancisco
2013-09-03 16:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,22,36,36,32,12,53,57,0.0,1008,32,10,56,8,SanFrancisco
2013-09-03 17:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,22,34,34,30,15,58,64,0.0,1008,30,10,53,10,SanFrancisco
2013-09-03 18:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,22,31,31,28,18,63,70,0.0,1009,28,10,50,11,SanFrancisco
2013-09-03 19:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,22,31,31,28,18,59,72,0.0,1010,28,10,43,10,SanFrancisco
2013-09-03 20:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,22,30,30,27,17,54,75,0.1,1011,27,9,37,10,SanFrancisco
2013-09-03 21:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,30,30,27,16,50,77,0.1,1011,27,9,30,10,SanFrancisco
2013-09-03 22:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,30,30,27,14,51,79,0.0,1011,27,9,22,9,SanFrancisco
2013-09-03 23:00:00,36,25,0.0,10.2,7,0,04:59 AM,05:36 PM,06:37 AM,06:55 PM,23,29,29,26,13,51,80,0.0,1011,26,10,14,8,SanFrancisco
2013-09-04 00:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,29,29,26,12,52,82,0.0,1010,26,10,6,7,SanFrancisco
2013-09-04 01:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,29,29,26,12,55,83,0.0,1010,26,9,120,7,SanFrancisco
2013-09-04 02:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,28,28,26,13,59,84,1.0,1011,26,8,234,8,SanFrancisco
2013-09-04 03:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,28,28,26,13,62,85,1.3,1011,26,7,348,8,SanFrancisco
2013-09-04 04:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,29,29,26,13,54,83,0.7,1011,26,7,351,9,SanFrancisco
2013-09-04 05:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,29,29,26,13,47,81,2.0,1011,26,7,354,9,SanFrancisco
2013-09-04 06:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,30,30,27,14,40,80,2.6,1012,27,7,358,10,SanFrancisco
2013-09-04 07:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,31,31,28,11,43,75,1.3,1012,28,8,349,8,SanFrancisco
2013-09-04 08:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,32,32,28,9,47,70,0.3,1012,28,9,340,7,SanFrancisco
2013-09-04 09:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,33,33,29,6,51,65,0.4,1013,29,10,331,5,SanFrancisco
2013-09-04 10:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,35,35,31,6,43,61,0.2,1011,31,10,331,5,SanFrancisco
2013-09-04 11:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,38,38,33,5,35,56,0.0,1010,33,10,331,4,SanFrancisco
2013-09-04 12:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,41,41,35,4,27,52,0.0,1009,35,10,331,4,SanFrancisco
2013-09-04 13:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,40,40,34,5,22,52,0.0,1009,34,10,233,4,SanFrancisco
2013-09-04 14:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,23,39,39,33,6,17,53,0.0,1009,33,10,135,5,SanFrancisco
2013-09-04 15:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,38,38,33,6,13,54,0.0,1008,33,10,37,5,SanFrancisco
2013-09-04 16:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,35,35,31,9,12,58,0.0,1009,31,10,34,6,SanFrancisco
2013-09-04 17:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,33,33,30,12,11,63,0.0,1009,30,10,31,8,SanFrancisco
2013-09-04 18:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,31,31,28,14,10,67,0.0,1010,28,10,28,9,SanFrancisco
2013-09-04 19:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,30,30,28,14,11,70,0.0,1011,28,10,28,8,SanFrancisco
2013-09-04 20:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,30,30,27,13,12,73,0.0,1012,27,10,28,8,SanFrancisco
2013-09-04 21:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,29,29,27,12,13,76,0.0,1012,27,10,28,7,SanFrancisco
2013-09-04 22:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,29,29,26,9,15,77,0.0,1012,26,10,131,6,SanFrancisco
2013-09-04 23:00:00,35,26,0.0,11.6,8,0,05:47 AM,06:17 PM,06:37 AM,06:54 PM,22,29,29,26,7,16,79,0.0,1011,26,10,235,4,SanFrancisco
2013-09-05 00:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,28,28,26,4,17,81,0.0,1011,26,10,338,3,SanFrancisco
2013-09-05 01:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,28,28,26,4,17,81,0.0,1011,26,10,319,3,SanFrancisco
2013-09-05 02:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,28,28,26,4,18,81,0.0,1010,26,10,301,3,SanFrancisco
2013-09-05 03:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,28,28,25,4,18,81,0.0,1010,25,10,282,3,SanFrancisco
2013-09-05 04:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,29,29,26,3,18,77,0.0,1011,26,10,260,2,SanFrancisco
2013-09-05 05:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,29,29,27,3,18,74,0.0,1011,27,10,239,2,SanFrancisco
2013-09-05 06:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,30,30,28,2,19,70,0.0,1011,28,10,218,2,SanFrancisco
2013-09-05 07:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,33,33,30,3,17,63,0.0,1011,30,10,206,3,SanFrancisco
2013-09-05 08:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,35,35,31,5,15,57,0.0,1011,31,10,195,4,SanFrancisco
2013-09-05 09:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,38,38,33,6,13,50,0.0,1011,33,10,184,5,SanFrancisco
2013-09-05 10:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,39,39,34,6,13,48,0.0,1010,34,10,177,5,SanFrancisco
2013-09-05 11:00:00,36,25,0.0,11.6,8,0,06:35 AM,07:00 PM,06:37 AM,06:53 PM,22,40,40,35,6,13,45,0.0,1009,35,10,170,5,SanFrancisco
