date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2013-09-01 00:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,26,26,25,29,7,41,0.0,1012,25,10,250,18,california
2013-09-01 01:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,25,25,24,31,8,42,0.0,1012,24,10,256,18,california
2013-09-01 02:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,10,25,25,24,32,8,44,0.0,1012,24,10,263,19,california
2013-09-01 03:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,10,25,25,23,34,8,45,0.0,1012,23,10,270,20,california
2013-09-01 04:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,10,25,25,23,29,11,45,0.0,1012,23,10,268,19,california
2013-09-01 05:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,25,25,24,25,14,45,0.0,1013,24,10,266,18,california
2013-09-01 06:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,25,25,24,20,17,44,0.0,1013,24,10,263,16,california
2013-09-01 07:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,26,26,26,19,16,40,0.0,1013,26,10,260,15,california
2013-09-01 08:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,27,27,27,17,16,37,0.0,1013,27,10,257,14,california
2013-09-01 09:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,28,28,29,15,15,33,0.0,1013,29,10,254,13,california
2013-09-01 10:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,29,29,30,18,15,31,0.0,1012,30,10,244,15,california
2013-09-01 11:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,30,30,31,20,15,28,0.0,1011,31,10,235,17,california
2013-09-01 12:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,31,31,32,22,15,26,0.0,1011,32,10,225,19,california
2013-09-01 13:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,32,32,33,22,20,26,0.0,1010,33,10,235,19,california
2013-09-01 14:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,32,32,33,22,26,26,0.0,1010,33,10,245,19,california
2013-09-01 15:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,11,32,32,33,22,32,26,0.0,1010,33,10,255,19,california
2013-09-01 16:00:00,33,23,0.0,11.6,7,12,02:57 AM,04:54 PM,06:25 AM,07:18 PM,12,31,31,32,24,32,29,0.0,1010,32,10,247,19,california
